Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
USER MANAGEMENT,MYS-19,10103,Epic,To Do,MYS,MySpace1,software,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,,Highest,,,,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,02/Apr/26 10:33 AM,02/Apr/26 10:38 AM,,,MySampleSpace1,11/Apr/26 12:00 AM,0,,,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@43597554,,,,,ghx-label-3,,To Do,,,,yellow,,,,,0|hzzzzb:,,,MYS Sprint 3,02/Apr/26 12:00 AM,,,,,,,,,,,,,,To Do,02/Apr/26 10:33 AM
USER IS ABLE TO SIGNUP / REGISTER,MYS-20,10105,Story,To Do,MYS,MySpace1,software,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,,High,,,,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,02/Apr/26 10:36 AM,02/Apr/26 10:43 AM,02/Apr/26 10:40 AM,,MySampleSpace1,04/Apr/26 12:00 AM,0,,,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4f3e4c73,,,,,,,,,,,,,,,,0|i0005r:,,,MYS Sprint 3,02/Apr/26 12:00 AM,,,,,,,,,,,10103,MYS-19,USER MANAGEMENT,To Do,02/Apr/26 10:36 AM
USER IS ABLE TO LOGIN,MYS-21,10107,Story,To Do,MYS,MySpace1,software,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,,High,,,,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,02/Apr/26 10:39 AM,02/Apr/26 10:39 AM,02/Apr/26 10:39 AM,,MySampleSpace1,10/Apr/26 12:00 AM,0,,,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@18b6f886,,,,,,,,,,,,,,,,0|i0005z:,,,MYS Sprint 3,06/Apr/26 12:00 AM,,,,,,,,,,,10103,MYS-19,USER MANAGEMENT,To Do,02/Apr/26 10:39 AM
WRITE FUNCTIONALITY TEST CASE REGISTER MODULE,MYS-22,10109,Task,To Do,MYS,MySpace1,software,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,,High,,,,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,02/Apr/26 10:41 AM,02/Apr/26 10:41 AM,02/Apr/26 10:44 AM,,MySampleSpace1,03/Apr/26 12:00 AM,0,,,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2bc3371b,,,,,,,,,,,,,,,,0|i00067:,,,MYS Sprint 3,02/Apr/26 12:00 AM,,,,,,,,,,,10103,MYS-19,USER MANAGEMENT,To Do,02/Apr/26 10:41 AM
WRITE FTS FOR FULL NAME FIELD,MYS-24,10113,Sub-task,To Do,MYS,MySpace1,software,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,,Medium,,,,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,02/Apr/26 10:44 AM,02/Apr/26 10:44 AM,,,,,0,,,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@50d8ade6,,,,,,,,,,,,,,,,0|i0006n:,,,MYS Sprint 3,,,,,,,,,,,,10109,MYS-22,WRITE FUNCTIONALITY TEST CASE REGISTER MODULE,To Do,02/Apr/26 10:44 AM
WRITE FTS FOR EMAIL ADDRESS FIELD,MYS-25,10115,Sub-task,To Do,MYS,MySpace1,software,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,,Medium,,,,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,02/Apr/26 10:44 AM,02/Apr/26 10:44 AM,,,,,0,,,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@695a047f,,,,,,,,,,,,,,,,0|i0006v:,,,MYS Sprint 3,,,,,,,,,,,,10109,MYS-22,WRITE FUNCTIONALITY TEST CASE REGISTER MODULE,To Do,02/Apr/26 10:44 AM
WRITE FTS FOR PHONE NUMBER FIELD,MYS-26,10117,Sub-task,To Do,MYS,MySpace1,software,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,,Medium,,,,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,02/Apr/26 10:45 AM,02/Apr/26 10:45 AM,,,,,0,,,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@62ad7272,,,,,,,,,,,,,,,,0|i00073:,,,MYS Sprint 3,,,,,,,,,,,,10109,MYS-22,WRITE FUNCTIONALITY TEST CASE REGISTER MODULE,To Do,02/Apr/26 10:45 AM
WRITE FTS FOR OTP FIELD,MYS-27,10119,Sub-task,To Do,MYS,MySpace1,software,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,,Medium,,,,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,02/Apr/26 10:45 AM,02/Apr/26 10:45 AM,,,,,0,,,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@97d7d28,,,,,,,,,,,,,,,,0|i0007b:,,,MYS Sprint 3,,,,,,,,,,,,10109,MYS-22,WRITE FUNCTIONALITY TEST CASE REGISTER MODULE,To Do,02/Apr/26 10:45 AM
WRITE FTS FOR PASSWORD FIELD,MYS-28,10121,Sub-task,To Do,MYS,MySpace1,software,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,,Medium,,,,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,02/Apr/26 10:45 AM,02/Apr/26 10:45 AM,,,,,0,,,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4aeea099,,,,,,,,,,,,,,,,0|i0007j:,,,MYS Sprint 3,,,,,,,,,,,,10109,MYS-22,WRITE FUNCTIONALITY TEST CASE REGISTER MODULE,To Do,02/Apr/26 10:45 AM
WRITE FTS FOR CONFIRM PASSWORD FIELD,MYS-29,10123,Sub-task,To Do,MYS,MySpace1,software,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,,Medium,,,,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,02/Apr/26 10:45 AM,02/Apr/26 10:45 AM,,,,,0,,,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@28981c9f,,,,,,,,,,,,,,,,0|i0007r:,,,MYS Sprint 3,,,,,,,,,,,,10109,MYS-22,WRITE FUNCTIONALITY TEST CASE REGISTER MODULE,To Do,02/Apr/26 10:45 AM
WRITE FTS FOR TERMS AND CONDITION FIELD ',MYS-30,10125,Sub-task,To Do,MYS,MySpace1,software,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,,Medium,,,,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,02/Apr/26 10:46 AM,02/Apr/26 10:46 AM,,,,,0,,,Naman,712020:e723842f-7b29-4ae9-80d1-c1f1b9729a3d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@31955048,,,,,,,,,,,,,,,,0|i0007z:,,,MYS Sprint 3,,,,,,,,,,,,10109,MYS-22,WRITE FUNCTIONALITY TEST CASE REGISTER MODULE,To Do,02/Apr/26 10:46 AM
